"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Cambodia","2000","Male","307",""
"Cambodia","2000","Female","240",""
"Cambodia","2000","Both sexes","271",""
"Cambodia","1990","Male","400",""
"Cambodia","1990","Female","317",""
"Cambodia","1990","Both sexes","358",""
"Cameroon","2012","Male","371",""
"Cameroon","2012","Female","349",""
"Cameroon","2012","Both sexes","360",""
"Cameroon","2000","Male","398",""
"Cameroon","2000","Female","375",""
"Cameroon","2000","Both sexes","386",""
"Cameroon","1990","Male","340",""
"Cameroon","1990","Female","287",""
"Cameroon","1990","Both sexes","313",""
"Canada","2012","Male","83",""
"Canada","2012","Female","52",""
"Canada","2012","Both sexes","68",""
"Canada","2000","Male","100",""
"Canada","2000","Female","61",""
"Canada","2000","Both sexes","81",""
"Canada","1990","Male","132",""
"Canada","1990","Female","71",""
"Canada","1990","Both sexes","102",""
"Central African Republic","2012","Male","445",""
"Central African Republic","2012","Female","430",""
"Central African Republic","2012","Both sexes","437",""
"Central African Republic","2000","Male","531",""
"Central African Republic","2000","Female","516",""
"Central African Republic","2000","Both sexes","523",""
"Central African Republic","1990","Male","447",""
"Central African Republic","1990","Female","376",""
"Central African Republic","1990","Both sexes","411",""
"Chad","2012","Male","413",""
"Chad","2012","Female","385",""
"Chad","2012","Both sexes","398",""
"Chad","2000","Male","483",""
"Chad","2000","Female","442",""
"Chad","2000","Both sexes","462",""
"Chad","1990","Male","501",""
"Chad","1990","Female","401",""
"Chad","1990","Both sexes","452",""
"Chile","2012","Male","110",""
"Chile","2012","Female","56",""
"Chile","2012","Both sexes","84",""
"Chile","2000","Male","137",""
"Chile","2000","Female","69",""
"Chile","2000","Both sexes","103",""
"Chile","1990","Male","196",""
"Chile","1990","Female","98",""
"Chile","1990","Both sexes","147",""
"China","2012","Male","106",""
"China","2012","Female","79",""
"China","2012","Both sexes","93",""
"China","2000","Male","150",""
"China","2000","Female","106",""
"China","2000","Both sexes","129",""
"China","1990","Male","173",""
"China","1990","Female","127",""
"China","1990","Both sexes","151",""
"Colombia","2012","Male","147",""
